Judul Berita,Text Berita,Tanggal Berita,Tag,Link
ASDP dan Operator Ferry Swasta Perkuat Data Manifest untuk Keselamatan,"JAKARTA, KOMPAS.com — Manifest penumpang dan kendaraan adalah dokumen vital yang menjadi dasar keselamatan pelayaran.

PT ASDP Indonesia Ferry (Persero) bersama seluruh operator kapal ferry swasta memperkuat integritas data manifest melalui kolaborasi edukasi, disiplin verifikasi, serta pengawasan ketat dari regulator.

ASDP menyatakan, penumpang bertanggung jawab mengisi data seluruh penumpang di atas kendaraan, termasuk bayi, pemeriksaan kesesuaian data merupakan tanggung jawab setiap operator penyeberangan.

Baca juga: ASDP Perkuat Layanan Penyeberangan Ajibata-Ambarita, Dukung Kejuaraan dunia Aquabike dan F1 Powerboat

DOK. Humas ASDP Ilustrasi kapal ASDP. DOK. Humas ASDP Ilustrasi kapal ASDP.

Petugas operator ferry wajib memverifikasi data tiket dan identitas diri seluruh penumpang dalam kendaraan, yang idealnya dilakukan saat proses kendaraan naik ke kapal (boarding) atau ketika berada di antrean parkir siap muat.

Corporate Secretary ASDP Shelvy Arifin mengatakan, integritas data manifest tidak bisa berdiri sendiri, melainkan bagian dari ekosistem keselamatan yang melibatkan semua pihak.

“ASDP telah membangun sistem digital Ferizy yang memungkinkan pengisian data seluruh penumpang dalam kendaraan secara lengkap pada saat pengguna jasa melakukan pembelian tiket, serta menghadirkan fitur pembaruan data mandiri yang dapat digunakan sebelum masuk pelabuhan (check in). Keberhasilan ini sangat bergantung pada kedisiplinan pengemudi dan perusahaan angkutan umum,” ujarnya dalam siaran pers, Selasa (12/8/2025).

Melalui platform Ferizy, proses pra-manifest terbentuk sejak tiket dibeli secara daring. Sesuai Permenhub Nomor 26 Tahun 2015, pengemudi kendaraan bertanggung jawab memastikan seluruh nama penumpang diinput dengan benar sebelum melakukan pemindaian barcode di dermaga (Pasal 8 ayat 1).

Baca juga: ASDP Perketat Pengecekan Tiket dan Identitas Penumpang di Pelabuhan",2025-08-12 00:00:00,"ASDP, kapal ferry, manifest penumpang, operator ferry, asdp, jakarta, manifest penumpang, liputan",https://money.kompas.com/read/2025/08/12/153911426/asdp-dan-operator-ferry-swasta-perkuat-data-manifest-untuk-keselamatan
"Listrik di Pulau Enggano Sudah 24 Jam, Kapal Ferry Angkut 84 KL Bio Solar untuk PLTD","BENGKULU, KOMPAS.com - Kepala Desa Kaana, Alamudin, di Pulau Enggano, Bengkulu, menyebutkan listrik telah menyala 24 jam penuh mulai Senin (7/7/2025).

""PLN sudah menyala 24 jam penuh. Tidak seperti biasanya. Saya juga sudah dapat info kapal ferry Pulo Tello sudah bisa masuk ke Pelabuhan Pulau Baai,"" kata Alamudin saat dikonfirmasi melalui telepon, Senin.

Alamudin mengaku bersyukur Kapal Motor Penumpang (KMP) Pulo Tello sudah bisa melintasi alur Pelabuhan Pulau Baai menandakan krisis segera berakhir.

""Kami menunggu kedatangan kapal agar masyarakat bisa segera menjualkan hasil bumi serta kapal bisa merapat ke Pelabuhan Pulau Baai,"" jelas dia.

Baca juga: Pemprov Bengkulu Minta Jangan Politisasi Permasalahan Enggano

Sementara itu, Kepala Supervisi PT Angkutan Sungai Danau dan Penyeberangan (ASDP) Indonesia Ferry (Persero) Bengkulu, Radmiadi, mengatakan alur Pelabuhan Pulau Baai sudah bisa dilalui Kapal Motor Penumpang (KMP) Pulo Tello, Minggu (6/7/2025).

Ia menyampaikan KMP Pulo Tello yang semula dijadwalkan berangkat pada pukul 06.00 WIB, pada Selasa (8/7/2025) bisa diberangkatkan lebih awal, yaitu tepat pada pukul 04.11 WIB bertolak dari Dermaga Ferry Pelabuhan Pulau Baai, Bengkulu, menuju Pelabuhan Kahyapu Enggano dengan membawa muatan bio solar sebanyak 84 KL dan kerosin 10 KL untuk kebutuhan utama pasokan listrik PLTD Enggano.

""Pada pukul 05.05 WIB KMP Pulo Tello sudah berhasil keluar alur pelabuhan dengan lancar dan aman dibantu oleh kapal pandu TB Raflesia,"" kata Radmiadi.

Ia mengatakan dengan mulai membaiknya Pelabuhan Pulau Baai dapat berdampak positif bagi Bengkulu dan warga Pulau Enggano, terutama hasil bumi dapat dijual ke luar pulau.

Baca juga: Masyarakat Pulau Enggano Pertanyakan Implementasi Inpres, Hasil Bumi Tak Bisa Keluar

Pelindo Sukses Uji Coba

Uji coba alur pelayaran Pelabuhan Pulau Baai, Bengkulu pada Senin dini hari, 7 Juli 2025, sukses dilaksanakan oleh Pelindo.

Kapal penyeberangan KMP Pulo Tello yang menjadi sarana transportasi masyarakat Pulau Enggano dari dan ke Kota Bengkulu berhasil melewati alur pelayaran pada sekitar pukul 02.30 WIB untuk melakukan aktivitas bongkar muat barang dan orang di Pelabuhan Pulau Baai.

""Alhamdulillah blocking alur sudah terbuka jam 21.00 semalam (6/7/2025) dan langsung dilakukan uji coba keluar masuk alur dengan tug boat Bunga Raflesia dengan aman. Selanjutnya, kapal perdana masuk jam sekitar pukul 02.30 dini hari tadi pagi, yaitu kapal penumpang KMP Pulo Tello tujuan Pulau Enggano,” ungkap S. Joko, General Manager Pelindo Regional 2 Bengkulu dalam rilis yang diterima Kompas.com, Senin (7/7/2025).

Pelindo senantiasa berkomitmen untuk melakukan percepatan pengerukan Pelabuhan Pulau Baai Bengkulu sebagai upaya menjaga rantai logistik nasional sebagaimana penugasan dari Pemerintah yang didukung penuh oleh Kementerian Perhubungan RI.

Keberhasilan uji coba ini merupakan bentuk kolaborasi nyata antara Pemerintah Pusat, Pemerintah Daerah, Kantor Kesyahbandaran dan Otoritas Pelabuhan Pulau Baai, Pelindo, serta berbagai instansi terkait di Bengkulu.

Baca juga: Pemprov Bengkulu Minta Jangan Politisasi Permasalahan Enggano

""Kami harap aktivitas pelabuhan bisa segera kembali pulih dan memberi dampak positif bagi perekonomian daerah,” ujar Petrus Christanto Martubongs, Kepala KSOP Kelas III Pulau Baai Bengkulu.

Christanto menambahkan bahwa terdapat beberapa hal yang perlu dikerjakan, yaitu kegiatan pengerukan lanjutan untuk menambah lebar alur masuk dan keluar, penetapan SOP alur, pengaturan panjang, draft, dan lebar kapal-kapal yang akan masuk keluar alur serta kewajiban penggunaan pandu dan tunda.

""Kami berterima kasih dan terus mohon dukungan dari berbagai pihak agar proses pekerjaan berjalan dengan lancar sehingga dalam waktu dekat alur pelayaran sudah dapat normal kembali,"" pungkas Joko.

Sebelumnya diberitakan bahwa selama empat bulan ini 4.000 warga Pulau Enggano mengalami kelambatan ekonomi akibat pendangkalan alur Pulau Baai.

Kapal reguler yang biasa melayani tidak dapat berlabuh di Pulau Baai.

Saat ini masyarakat membutuhkan kapal pengangkut hasil bumi yang dapat berlabuh di dermaga Bengkulu.",2025-07-08 00:00:00,"pulau enggano, Bio Solar, Pelabuhan Pulau Baai, KMP Pulo Tello, Alamudin, Radmiadi, S. Joko, Petrus Christanto Martubongs, Pulau Enggano, Pelabuhan Pulau Baai, Bengkulu, Pelabuhan Kahyapu Enggano, bio solar, kerosin, KMP Pulo Tello, TB Raflesia, uji coba alur pelayaran, pengiriman bio solar, normalisasi pelabuhan",https://regional.kompas.com/read/2025/07/08/104831978/listrik-di-pulau-enggano-sudah-24-jam-kapal-ferry-angkut-84-kl-bio-solar
"Ombak Hingga 2,5 Meter Hambat Pencarian KMP Tunu Pratama Jaya di Selat Bali","KMP Tunu Pratama Jaya tenggelam di Selat Bali, Rabu (2/7/2025) malam, setelah kirim sinyal darurat tak lama berlayar dari Banyuwangi.Cuaca buruk dan ombak tinggi jadi hambatan besar dalam pencarian 65 orang yang berada di kapal.Simak selengkapnya dalam video berikut!Penulis: Fitri Anggiawati, Glori K. WadriantoPenulis Naskah: Shafa Maulita MaulanaNarator: Shafa Maulita MaulanaVideo Editor: Fathir RohmanProduser: Yusuf Reza Permadi#Peristiwa #Kecelakaan #KapalTenggelam #SelatBali #KMPtunu #Banyuwangi #CuacaBuruk #OmbakTinggi #PencarianKorban #BeritaTerkini #KecelakaanLaut #KapalTenggelamdiSelatBaliMusic: Missing Persons - Jeremy BlakeArtikel terkait:https://surabaya.kompas.com/read/2025/07/03/051039678/gelap-dan-cuaca-buruk-hambat-pencarian-korban-kmp-tunu-pratama-jaya-yang https://surabaya.kompas.com/read/2025/07/03/045437178/kmp-tunu-pratama-jaya-tenggelam-di-selat-bali",2025-07-03 02:09:12+00:00,"Berita Terkini, Berita Hari Ini, Berita Harian, Berita Terbaru, Berita Akurat, Berita Terpercaya, Berita indonesia, Berita Terpopuler, Berita, Info Terkini, Jernih Melihat Dunia, Kompas",https://video.kompas.com/watch/1858879/ombak-hingga-25-meter-hambat-pencarian-kmp-tunu-pratama-jaya-di-selat-bali
Rute Ferry Batam–Johor Direncanakan Aktif Tahun Ini,"KOMPAS.com – PT Angkutan Sungai Danau dan Penyeberangan (ASDP) Indonesia Ferry menargetkan rute pelayaran internasional Batam–Johor Bahru, Malaysia mulai beroperasi pada semester II tahun 2025.

Direktur Utama ASDP Heru Widodo menyampaikan hal itu saat bertemu dengan wartawan dalam kegiatan Press Tour 2025 di Labuan Bajo, Kabupaten Manggarai Barat, Nusa Tenggara Timur, Jumat (23/5/2025).

""Ide rute ini sudah lama muncul kembali. Kami targetkan bisa berjalan pada paruh kedua tahun ini,"" ujar Heru, seperti dilansir Antara.

Baca juga: Pabrik Apple Mulai Dibangun di Batam, Produksi Dimulai Desember 2025

Ia menjelaskan rute Batam–Johor juga diminta segera dipercepat oleh Kementerian Koordinator Bidang Kemaritiman dan Investasi. Namun realisasinya masih terkendala beberapa hal yang menyangkut koordinasi antarinstansi.

Menurut Heru, tantangan pertama menyangkut hubungan antarnegara atau kerja sama pemerintah. Di Batam, operasional pelayaran internasional akan melibatkan aparat kepolisian karena ada kendaraan yang keluar masuk lintas negara.

""Masih dibahas soal pemberlakuan pelat nomor kendaraannya nanti seperti apa,"" ujarnya.

Selain itu, pengaturan bea cukai juga belum rampung. Heru menyebut akan ada perlintasan barang yang memerlukan pengawasan khusus.

Masalah ketiga berasal dari imigrasi. Proses pengaturannya dinilai masih cukup panjang.

""Namun saya yakin, target tahun ini masih realistis,"" kata Heru.

Baca juga: Apple Sudah Beli Lahan di Batam untuk Pabrik AirTag, tapi Jadwal Produksinya Belum Pasti

Ia mencontohkan perlintasan darat antara Nusa Tenggara Timur dan Timor Leste yang berlangsung lebih mudah. Kendaraan bisa langsung melintasi batas negara tanpa kendala berarti.

""Kalau menggunakan kapal, kendaraan nanti bisa keluar masuk lewat laut. Itu jadi tantangan sendiri,"" ujarnya.

Terkait rencana rute pelayaran dari Maritaing, Alor menuju Timor Leste, Heru menyatakan pembahasan masih berjalan. Koordinasi masih terus dilakukan dengan berbagai pemangku kepentingan terkait.",2025-05-23 00:00:00,"kapal ferry, batam johor bahru ferry schedule, batam johor bahru",https://money.kompas.com/read/2025/05/23/220531226/rute-ferry-batamjohor-direncanakan-aktif-tahun-ini
"Menyeberangi Danau Toba, Perjalanan Naik Kapal ke Pulau Samosir","KOMPAS.com - Kala melihat kapal berwarna hijau tengah bersandar di pelabuhan, pengemudi yang semula melajukan mobil dengan santai, segera menginjak pedal gas menambah kecepatan.

""Kalau ketinggalan kapal jam 10.00 WIB, kita harus tunggu lebih lama lagi, karena keberangkatan setelahnya khusus membawa gas LPG, bukan untuk penumpang,"" kata sang sopir.

Beruntungnya, jalanan pagi itu cukup sepi, sehingga sekitar pukul 09.40 WIB mobil yang kami tumpangi berhasil masuk ke area parkir Pelabuhan Ajibata.

Baca juga:

Menurut jadwal di loket tiket, waktu terdekat keberangkatan KMP dari Pelabuhan Ajibata menuju Pelabuhan Tomok yakni pukul 10.00 WIB.

Siang itu pelabuhan tidak terlalu ramai, hanya ada beberapa mobil yang parkir di pelabuhan. Beberapa di antara calon penumpang juga ada yang menunggu jadwal keberangkatan kapal di ruang tunggu.

Tepat saat tiket berhasil dibayar, peluit kapal berbunyi, kami segera masuk ke mobil dan antri masuk ke kapal.

Kompas.com/ Suci Wulandari Putri Potret Pelabuhan Ajibata, Sumatera Utara, Kamis (15/5/2025). Potret Pelabuhan Ajibata, Sumatera Utara, Kamis (15/5/2025).

Ada yang unik saat proses masuk kendaraan ke dalam kapal, yaitu kendaraan roda empat masuk dengan cara mundur.

Menurut informasi dari sopir yang membawa kami, kendaraan tersebut masuk dengan cara mundur agar memudahkan pada saat keluar di Pelabuhan Tomok nantinya.

Baca juga:

Setelah mobil terparkir di bagian bawah kapal, kami kemudian pindah ke deck paling atas dan duduk di depan deck supaya mendapatkan spot pemandangan yang bagus.

Kompas.com/ Suci Wulandari Putri Kondisi pada saat penumpang dan kendaraan masuk ke Kapal Penyeberangan (KMP) Tao Toba II di Pelabuhan Ajibata, Sumatera Utara, Kamis (15/5/2025). Kondisi pada saat penumpang dan kendaraan masuk ke Kapal Penyeberangan (KMP) Tao Toba II di Pelabuhan Ajibata, Sumatera Utara, Kamis (15/5/2025).

Usai 30 menit proses menaikkan penumpang dan barang, sekitar pukul 10.30 WIB KMP Tao Toba II mundur dan berbelok meninggalkan pelabuhan.

Beberapa penumpang juga turut duduk bersama kami di atas deck, melaju menuju Pulau Samosir sembari melihat pemandangan dari ketinggian.

Tidak ketinggalan, perjalanan satu jam mengarungi Danau Toba ini juga ditemani alunan lagu lawas hingga lagu batak yang mengudara di seantero kapal.

Baca juga:

Perjalanan siang itu lancar, mengingat kapal melaju ke arah barat, sehingga posisi kami tidak menghadang matahari. Sekitar pukul 11.10 WIB kapal yang kami tumpangi mulai bersandar di Pelabuhan Tomok.

Kompas.com/ Suci Wulandari Putri KMP Tao Toba II memasuki kawasan Pelabuhan Tomok, Pulau Samosir, Kamis (15/5/2025). KMP Tao Toba II memasuki kawasan Pelabuhan Tomok, Pulau Samosir, Kamis (15/5/2025).

Semua penumpang kembali turun ke kendaraan masing-masing, dan bersiap meninggalkan kapal.

Lalu setelahnya, mobil yang kami tumpangi berhasil keluar area pelabuhan dan melaju menyisi jalanan Pulau Samosir.

Bagi wisatawan yang hendak menyeberang ke Pulau Samosir dari Pelabuhan Ajibata, Kompas.com menyarankan untuk memilih keberangkatan pukul 10.00 WIB, karena posisi matahari siang itu membelakangi kapal, sehingga tidak akan kepanasan selama perjalanan.",2025-05-16 00:00:00,"kapal dari ajibata ke tomok, kapal ferry pelabuhan ajibata parapat, jadwal kapal dari ajibata ke tomok, pelabuhan ajibata ke samosir, Samosir, Pelabuhan Ajibata, Sumatera Utara, KMP Tao Toba II, Naik kapal ke Pulau Samosir",https://travel.kompas.com/read/2025/05/16/070700727/menyeberangi-danau-toba-perjalanan-naik-kapal-ke-pulau-samosir
"Viral Kisah Ibu Melahirkan di Atas Kapal Feri, Ini Cerita Lengkapnya","BAUBAU, KOMPAS.com – Sebuah video yang memperlihatkan momen seorang ibu melahirkan di atas kapal feri viral di media sosial pada Kamis (10/4/2025).

Peristiwa itu terjadi saat kapal tengah berlayar dari Pelabuhan Waara, Kabupaten Buton Tengah, menuju Pelabuhan Fery Kota Baubau, Sulawesi Tenggara, pada Rabu (9/4/2025) siang.

Setelah ditelusuri, perempuan tersebut diketahui bernama Zuhliati (35), warga Kelurahan Lamangga, Kecamatan Murhum, Kota Baubau.

Saat ditemui di RSUD Palagimata Baubau, Zuhliati menuturkan bahwa ia sebelumnya berada di rumah keluarganya di Buton Tengah ketika tiba-tiba merasa ngilu dan air ketuban mulai keluar.

“Kemudian dipanggilkan bidan dan kemudian dicek, tapi belum ada tanda-tanda (melahirkan), bidan sarankan ke Puskesmas Wadiabero untuk USG,” ujar Zuhliati, Kamis (10/4/2025).

Baca juga: Kisah Bocah 10 Tahun di Baubau Temukan Muntahan Paus Saat Bermain di Pantai

Zuhliati bersama suaminya, Mahmudin (40), kemudian menuju ke Puskesmas Wadiabero. Di sana, dokter menyarankan rujukan ke RSUD Baubau karena air ketuban terus keluar.

“Setelah saya pulang ke rumah tapi masih tetap ngilu dan sakit, sehingga kita langsung ke Wamengkoli, Pelabuhan Waara,” lanjutnya.

Saat berada di atas kapal feri, perutnya mulai mengalami kontraksi. Mahmudin segera memberi tahu kapten kapal, yang kemudian mengumumkan keberadaan penumpang yang mungkin berprofesi sebagai bidan.

Beruntung, salah satu penumpang kapal yang merupakan bidan turut membantu proses persalinan.

“Ada yang tolong seorang penumpang, ibu bidan, dia juga hendak pulang ke Baubau. Jadi akhirnya saya melahirkan,” kata Zuhliati.

Baca juga: Ibu Muda di Ponorogo Melahirkan di Pinggir Jalan Saat Nyari Seblak..

Zuhliati berhasil melahirkan bayi perempuan secara normal dengan berat 3,2 kilogram. Bayi tersebut kemudian dibungkus kain dan bersama ibunya dirujuk ke RSUD Palagimata Baubau untuk perawatan lebih lanjut.

Sementara itu, sang suami mengungkapkan rasa syukurnya atas keselamatan istri dan anaknya.

“Ini anak keempat, dan yang kecil ini satu-satunya perempuan, jadi sudah (anaknya) lengkap sepasang,” ujar Mahmudin dengan senyum haru.",2025-04-10 00:00:00,"Baubau, ibu melahirkan di kapal, ibu melahirkan di kapal ferry, melahirkan di kapal ferry baubau",https://regional.kompas.com/read/2025/04/10/155543478/viral-kisah-ibu-melahirkan-di-atas-kapal-feri-ini-cerita-lengkapnya
"Antrean Masuk Kapal Menumpuk, Pemudik Soraki Petugas di Bakauheni","LAMPUNG, KOMPAS.com - Kekisruhan sempat terjadi di Dermaga 2 Pelabuhan Bakauheni saat proses muat pemudik, Sabtu (5/4/2025) sekitar pukul 13.00 WIB.

Ratusan pemudik yang kesal bahkan sempat menyoraki dan memarahi petugas dermaga.

Pantauan Kompas.com di lokasi, situasi tersebut berawal dari di-""pingpong""-nya para pemudik yang telah menunggu di Dermaga 1.

Para pemudik ini kemudian diarahkan naik ke kapal di Dermaga 2. Sementara itu, di selasar Dermaga 2 sendiri telah menunggu ratusan pemudik lain.

Begitu sebuah kapal ferry bersandar dan melakukan proses menurunkan muatan, para penumpang Dermaga 2 diminta berjalan memutar dahulu, tidak langsung ke akses jembatan kapal.

Baca juga: Arus Balik di Pelabuhan Bakauheni Terasa Landai, Dirut ASDP: Pola Pemudik Kembali ke Jawa Berbeda

Sedangkan penumpang dari Dermaga 1 berada di bagian depan dan langsung mendapatkan akses ke kapal. Akibatnya, terjadi penumpukan pemudik di selasar Dermaga 2 tersebut.

Para penumpang saling dorong dan beberapa orang terlihat terjepit. ""Jangan saling dorong, bapak-bapak, ibu-ibu,"" seru petugas tiket.

Imbauan itu justru disambut sorakan dan omelan oleh para pemudik. ""Wooooo, kita udah lama nunggu, Pak! Masa numpuk begini, emang dermaga cuma satu, Pak!"" jawab salah seorang penumpang.

Salah satu pemudik, Supriyanto, mengatakan para penumpang kesal karena telah menunggu terlalu lama.

Baca juga: Ratusan Ribu Pemudik Masih Bertahan di Sumatera, Bakauheni Bersiap Hadapi Serbuan Balik

Dia juga menyesalkan kenapa para penumpang dipusatkan di satu dermaga saja. ""Kan ada dermaga lain, masa semua ditumpuk di sini, ya jelas rebutan. Ini banyak anak-anak,"" kata dia.

Masih berdasarkan pantauan di lokasi, butuh waktu lebih dari 45 menit agar antrean penumpang terurai dan masuk ke kapal.

Hingga berita ini diunggah, belum ada pernyataan terkait peristiwa ini dari pihak pengelola Pelabuhan Bakauheni.",2025-04-05 00:00:00,"pemudik, kapal ferry, Dermaga, Pelabuhan Bakauheni, Supriyanto, Pelabuhan Bakauheni, Lampung, kapal ferry, dermaga, ",https://regional.kompas.com/read/2025/04/05/152851078/antrean-masuk-kapal-menumpuk-pemudik-soraki-petugas-di-bakauheni
"H+2 Lebaran, 39.657 Penumpang Ferry dari Sumatera Kembali ke Jawa","JAKARTA, KOMPAS.com – PT ASDP Indonesia Ferry (Persero) mencatat peningkatan arus penyeberangan dari Sumatera ke Jawa dan sebaliknya selama arus balik Lebaran 2025.

Berdasarkan data Posko Bakauheni (Pelabuhan Bakauheni, Panjang, dan BBJ Muara Pilu) selama 24 jam pada 1 April 2025, jumlah kapal yang beroperasi mencapai 34 unit.

Penyeberangan Sumatera ke Jawa:

- Total penumpang: 39.657 orang (naik 9 persen dari 36.391 orang tahun lalu).

- Total kendaraan: 9.697 unit (naik 8 persen dari 8.975 unit tahun lalu).

Baca juga: Mudik Lebaran: Trafik di Pelabuhan Merak-Bakauheni Naik, ASDP Beri Diskon Tarif Arus Balik

Direktur Utama ASDP, Heru Widodo, mengatakan sejak H-10 hingga 1 April 2025, total penumpang yang menyeberang dari Sumatera ke Jawa mencapai 453.468 orang, meningkat 4,8 persen dari tahun lalu yang tercatat 443.486 orang.

Sementara itu, jumlah kendaraan yang menyeberang mencapai 91.351 unit, naik tipis 0,9 persen dibandingkan periode yang sama tahun lalu sebanyak 94.407 unit.

Penyeberangan Jawa ke Sumatera:

Di Posko Merak (Pelabuhan Merak dan BBJ Bojonegara), jumlah kapal yang beroperasi dalam 24 jam pada 1 April 2025 mencapai 35 unit.

- Total penumpang: 55.997 orang (naik 5,1 persen dari 53.258 orang tahun lalu).

- Total kendaraan: 14.193 unit (naik 6,3 persen dari 13.347 unit tahun lalu).

Baca juga: ASDP Siapkan 4 Lintasan dari Sumatera ke Jawa untuk Arus Balik, Ini Rinciannya

Sejak H-10 hingga 1 April 2025, total penumpang yang menyeberang dari Jawa ke Sumatera mencapai 941.825 orang, meningkat 3,2 persen dibandingkan tahun lalu yang tercatat 912.957 orang.

Sedangkan jumlah kendaraan yang telah menyeberang mencapai 239.593 unit.",2025-04-02 00:00:00,"ASDP, Bakauheni, Merak, kapal ferry",https://money.kompas.com/read/2025/04/02/162153226/h2-lebaran-39657-penumpang-ferry-dari-sumatera-kembali-ke-jawa
"ASDP Siapkan 4 Lintasan dari Sumatera ke Jawa untuk Arus Balik, Ini Rinciannya","JAKARTA, KOMPAS.com – PT ASDP Indonesia Ferry (Persero) menyiapkan sejumlah strategi untuk memastikan kelancaran layanan arus balik Lebaran 2025.

ASDP mengoperasikan empat lintasan utama dari Sumatera ke Jawa, yaitu Bakauheni – Merak, Wika Beton – Ciwandan/Merak (kontingensi), BBJ Muara Pilu – BBJ Bojonegara, Sumur Makmur Abadi – BBJ Bojonegara.

Direktur Utama ASDP, Heru Widodo, mengatakan pengaturan distribusi kendaraan pada arus balik telah diatur sesuai dengan Surat Keputusan Bersama (SKB) Pemerintah.

Baca juga: Mudik Lebaran: Trafik di Pelabuhan Merak-Bakauheni Naik, ASDP Beri Diskon Tarif Arus Balik

Pelabuhan Bakauheni menjadi tumpuan utama, sementara Pelabuhan Wika Beton berfungsi sebagai pelabuhan kontingensi.

""Pelabuhan Wika Beton melayani kendaraan roda dua, mobil, bus, serta truk kategori VB dan VIB mulai H+3 hingga H+6,"" ujarnya dalam siaran pers, Rabu (2/4/2025).

Pelabuhan BBJ Muara Pilu dan Sumur Makmur Abadi ditetapkan untuk melayani truk kategori VII, VIII, dan IX dalam periode yang sama.

Untuk mengantisipasi antrean di Pelabuhan Bakauheni, ASDP menyiapkan dermaga khusus roda dua yang akan dioperasikan berdasarkan diskresi KSOP jika terjadi lonjakan kendaraan.

Selain itu, ASDP menerapkan pola operasi Tiba Bongkar Berangkat (TBB) dengan menyiapkan dermaga khusus di Pulau Jawa, yakni Pelabuhan Merak dan BBJ Bojonegara.

Baca juga: ASDP Catat Lonjakan Reservasi Tiket di Pelabuhan Ketapang-Gilimanuk Usai Nyepi

Dermaga ini akan menerima kapal yang melakukan pola TBB dari Pelabuhan Bakauheni, Wika Beton, BBJ Muara Pilu, dan Sumur Makmur Abadi.

Langkah ini bertujuan meningkatkan kapasitas pelabuhan agar jumlah pengguna jasa yang terangkut lebih maksimal.

ASDP juga telah menyiapkan sistem ticketing Ferizy di Pelabuhan Wika Beton, BBJ Muara Pilu, dan Sumur Makmur Abadi sejak 21 Maret hingga 7 April 2025. Sistem ini memungkinkan peningkatan permintaan dikontrol dan diantisipasi secara sistemik.",2025-04-02 00:00:00,"arus balik, ASDP, kapal ferry, perlintasan, asdp, ferry, mudik",https://money.kompas.com/read/2025/04/02/160653626/asdp-siapkan-4-lintasan-dari-sumatera-ke-jawa-untuk-arus-balik-ini-rinciannya
"Mobil Listrik Kebakaran di Kapal, Langsung Diceburkan ke Laut","

JAKARTA, KOMPAS.com - Bagi pemudik yang menggunakan kendaraan listrik (electric vehicle/EV) dan akan menyeberang menggunakan kapal, akan ditempatkan khusus di dekat pintu.

Bukan tanpa alasan, hal ini dilakukan guna meminimalisir potensi risiko kebakaran di atas kapal laut selama momen angkutan Lebaran 2025.

Ketua Umum Gabungan Pengusaha Angkutan Sungai, Danau, dan Penyeberangan (GAPASDAP) Khoiri Soetomo mengatakan, berdasarkan Kode International Maritime Dangerous Goods (IMDG) baterai EV termasuk dalam kategori kelas 9 karena kemampuannya menimbulkan risiko selama penyeberangan.

Baca juga: Chery Lirik Peluang di Segmen Taksi Listrik

Sebagai informasi, baterai kendaraan listrik yang memiliki kapasitas tinggi mengandung bahan-bahan seperti lithium, nikel, kobalt, mangan, dan fosfat untuk katoda, yang sulit dipadamkan.

""Kendaraan yang memuat barang-barang yang berbahaya bisa terbakar sendiri, bisa meledak sendiri. Yang mempunyai bahaya cukup serius adalah kendaraan listrik,"" ucap Khoiri, dikutip dari Kompas.com, Rabu (26/3/2025).

KOMPAS.com/ SUPARMAN SULTAN kapal fery yang tiba di pelabuhan Kolaka, dari pelabuhan Bajoe, Sulawesi Selatan. kapal fery yang tiba di pelabuhan Kolaka, dari pelabuhan Bajoe, Sulawesi Selatan.

""Sebab, sampai saat ini belum ada teknologi ataupun alat pemadam yang dapat dengan mudah memadamkan api yang terjadi di kendaraan listrik,"" lanjutnya.

Sebagai langkah antisipasi, GAPASDAP bersama Kementerian Perhubungan mengurangi risiko kebakaran pada kendaraan listrik yakni dengan cara menempatkan kendaraan listrik di lokasi yang mudah diawasi.

""Kendaraan-kendaraan listrik ini harus kita tempatkan pada tempat yang mudah diawasi, paling aman, yang paling memungkinkan bilamana terjadi kebakaran itu paling mudah untuk segera bisa kita evakuasi,"" kata Khoiri.

Baca juga: Waspada Tindak Kriminal Saat Mudik Pakai Mobil Pribadi

Ia juga menyarankan agar kendaraan listrik ditempatkan dekat pintu keluar ramp door kapal, sehingga jika terjadi kebakaran ramp door akan dibuka dan kendaraan listrik akan diceburkan ke laut.

""Betul (akan diceburkan ke laut). Saat ini memang karena belum ditemukan teknologi pemadam yang bisa memadamkan,"" ucap Khoiri.",2025-03-26 00:00:00,"mobil listrik, Mudik Lebaran, kapal ferry, kendaraan listrik, penyeberangan, EV, Khoiri Soetomo, Jakarta, mobil listrik, ev, kendaraan listrik, penyeberangan, mobil, GAPASDAP",https://otomotif.kompas.com/read/2025/03/26/131200415/mobil-listrik-kebakaran-di-kapal-langsung-diceburkan-ke-laut
