Word,Frequency
,8429
kapal,1853
rp,1687
kendara,1351
tumpang,1164
labuh,1126
tiket,1090
golong,879
feri,876
seberang,748
bira,695
wita,633
jadwal,623
asdp,615
kmp,581
rute,559
berangkat,534
harga,530
barang,476
pamatata,469
layar,461
ferry,445
beli,441
a,430
b,427
guna,409
2024,333
jasa,324
layan,323
indonesia,315
merak,296
km,260
pt,250
informasi,243
1,221
pulau,218
ferizy,204
jalan,203
mudik,196
to,191
bakauheni,187
jam,185
scroll,185
continue,185
with,185
content,185
masuk,184
operasi,182
kormomolin,181
2023,180
angkut,178
tingkat,177
2025,174
orang,174
persero,172
advertisement,172
tarif,171
lintas,169
wib,166
3,165
laut,161
anak,159
balibo,158
6,157
masyarakat,156
sesuai,154
9,154
5,153
2,151
bakar,147
4,146
dewasa,146
shelvy,145
minggu,145
daftar,145
sabtu,141
gilimanuk,137
beda,136
7,135
online,135
ketapang,134
dermaga,133
unit,132
resmi,130
baca,127
batam,124
pandu,121
trip,120
laku,118
usaha,116
tambah,114
total,114
aplikasi,114
i,112
truk,110
iii,108
ii,108
harap,106
30,106
lebaran,106
