No,Link
1,https://money.kompas.com/read/2025/08/12/153911426/asdp-dan-operator-ferry-swasta-perkuat-data-manifest-untuk-keselamatan
2,https://regional.kompas.com/read/2025/07/08/104831978/listrik-di-pulau-enggano-sudah-24-jam-kapal-ferry-angkut-84-kl-bio-solar
3,https://video.kompas.com/watch/1858879/ombak-hingga-25-meter-hambat-pencarian-kmp-tunu-pratama-jaya-di-selat-bali
4,https://money.kompas.com/read/2025/05/23/220531226/rute-ferry-batamjohor-direncanakan-aktif-tahun-ini
5,https://travel.kompas.com/read/2025/05/16/070700727/menyeberangi-danau-toba-perjalanan-naik-kapal-ke-pulau-samosir
6,https://regional.kompas.com/read/2025/04/10/155543478/viral-kisah-ibu-melahirkan-di-atas-kapal-feri-ini-cerita-lengkapnya
7,https://regional.kompas.com/read/2025/04/05/152851078/antrean-masuk-kapal-menumpuk-pemudik-soraki-petugas-di-bakauheni
8,https://money.kompas.com/read/2025/04/02/162153226/h2-lebaran-39657-penumpang-ferry-dari-sumatera-kembali-ke-jawa
9,https://money.kompas.com/read/2025/04/02/160653626/asdp-siapkan-4-lintasan-dari-sumatera-ke-jawa-untuk-arus-balik-ini-rinciannya
10,https://otomotif.kompas.com/read/2025/03/26/131200415/mobil-listrik-kebakaran-di-kapal-langsung-diceburkan-ke-laut
11,https://money.kompas.com/read/2025/03/13/152005526/asdp-pastikan-refund-dan-reschedule-gratis-untuk-pembatalan-akibat-cuaca
12,https://money.kompas.com/read/2025/03/13/142619926/asdp-terapkan-tarif-satu-harga-penyeberangan-ekspres-selama-mudik-lebaran-2025
13,https://travel.kompas.com/read/2025/02/23/094409427/h-5-lebaran-tiket-eksekutif-di-pelabuhan-merak-diganti-jadi-reguler
14,https://www.kompas.com/jawa-timur/read/2024/12/21/095433488/jadwal-dan-harga-tiket-kapal-ferry-ketapang-gilimanuk-libur-nataru
15,https://money.kompas.com/read/2024/12/15/101953526/asdp-pastikan-tak-ada-penjualan-tiket-kapal-ferry-secara-offline-selama-nataru
16,https://regional.kompas.com/read/2024/12/08/151458778/diterjang-ombak-tinggi-kapal-ferry-kandas-di-perairan-bakauheni
17,https://regional.kompas.com/read/2024/12/01/114307978/kapal-ferry-merak-bakauheni-rusak-mesin-penumpang-terjebak-5-jam-di-laut
18,https://otomotif.kompas.com/read/2024/08/29/181200315/resmi-39-pelabuhan-penyeberangan-berlakukan-reservasi-tiket-online
19,https://money.kompas.com/read/2024/07/28/105807326/33-pelabuhan-layani-pemesanan-tiket-kapal-ferry-lewat-aplikasi-ferizy
20,https://travel.kompas.com/read/2024/07/13/112956927/cara-beli-tiket-feri-asdp-di-tiketcom
21,https://money.kompas.com/read/2024/07/07/222820026/asdp-wajibkan-penumpang-beli-tiket-online-via-ferizy-simak-caranya
22,https://money.kompas.com/read/2024/06/03/060000926/anak-usaha-asdp-perkuat-layanan-di-lebih-dari-20-titik-wilayah-di-indonesia
23,https://regional.kompas.com/read/2024/04/17/091645678/asdp-kupang-akan-tindak-tegas-abk-yang-terlibat-pungli-masuk-ruang-vip
24,https://money.kompas.com/read/2024/04/04/173900526/mau-mudik-bawa-mobil-listrik-naik-kapal-ferry-simak-ini
25,https://travel.kompas.com/read/2024/03/26/180500927/ingat-tiket-kapal-ferry-asdp-sudah-tidak-bisa-dibeli-di-pelabuhan-
26,https://travel.kompas.com/read/2024/02/08/144000627/jadwal-dan-tiket-ferry-dari-batam-center-ke-malaysia-pp-per-februari
27,https://money.kompas.com/read/2023/12/19/160645726/batas-area-pembelian-tiket-kapal-ferry-di-pelabuhan-merak-hingga-gilimanuk
28,https://www.kompas.com/tren/read/2023/12/11/083000165/mulai-hari-ini-pemesanan-tiket-kapal-feri-tak-bisa-dilakukan-dekat
29,https://travel.kompas.com/read/2023/12/06/173300027/jadwal-dan-tarif-kapal-ferry-dari-batam-ke-malaysia-desember-2023
30,https://regional.kompas.com/read/2023/10/21/194825678/kebakaran-ferry-di-pelabuhan-bakauheni-diduga-karena-baterai-sepeda-listrik
31,https://regional.kompas.com/read/2023/10/20/193302378/truk-perusahaan-logistik-diduga-penyebab-kebakaran-kapal-ferry-di-pelabuhan
32,https://regional.kompas.com/read/2023/10/20/183936278/kapal-ferry-terbakar-saat-hendak-sandar-di-pelabuhan-bakauheni
33,https://money.kompas.com/read/2023/09/28/090052326/penumpang-kapal-feri-naik-saat-harpitnas-asdp-siapkan-standar-operasional
34,https://money.kompas.com/read/2023/04/18/212846326/cara-beli-tiket-kapal-laut-online-via-aplikasi-dan-website
35,https://regional.kompas.com/read/2023/09/25/140832978/beberapa-menit-bertolak-dari-batam-kapal-feri-oceana-6-mati-mesin
36,https://money.kompas.com/read/2023/09/08/213106226/sudah-tahu-belum-arti-kapal-roro-dan-kapal-ferry
37,https://travel.kompas.com/read/2023/09/06/144000727/tiket-kapal-feri-jepara-karimunjawa-akhirnya-dijual-online
38,https://travel.kompas.com/read/2023/08/27/070700627/cara-beli-tiket-kapal-ke-karimunjawa-agar-tidak-kehabisan
39,https://biz.kompas.com/read/2023/06/28/205224328/libur-panjang-idul-adha-tiket-kapal-ferry-bisa-dibeli-via-ferizy
40,https://travel.kompas.com/read/2023/06/26/165000027/7-hotel-di-batam-dekat-pelabuhan-tarif-rp-200.000-an-per-malam-
41,https://travel.kompas.com/read/2023/06/25/171813827/harga-tiket-kapal-feri-ketapang-gilimanuk-jika-naik-motor-penumpang-gratis
42,https://travel.kompas.com/read/2023/06/21/194736627/nonton-coldplay-ke-singapura-via-batam-segini-harga-tiket-kapalnya
43,https://surabaya.kompas.com/read/2023/06/18/171048978/harga-tiket-kapal-penyeberangan-pelabuhan-ujung-kamal-terbaru-2023
44,https://travel.kompas.com/read/2023/05/24/183600027/3-tips-beli-tiket-kapal-nawasena-penyeberangan-lombok-bali-pp
45,https://travel.kompas.com/read/2023/05/23/111700327/naik-kapal-dari-lombok-ke-bali-cuma-rp-60.000-an-intip-fasilitasnya
46,https://www.kompas.com/tren/read/2023/05/06/193912565/kmp-royce-1-terbakar-di-perairan-merak-diduga-karena-bus-kebakaran
47,https://money.kompas.com/read/2023/04/11/194225826/cara-beli-tiket-kapal-penyeberangan-lewat-ferizy
48,https://travel.kompas.com/read/2023/04/11/073057727/ingat-tidak-ada-lagi-penjualan-tiket-kapal-feri-di-pelabuhan
49,https://travel.kompas.com/read/2023/03/06/181200327/cara-beli-tiket-kapal-untuk-mudik-lebaran-2023
50,https://travel.kompas.com/read/2023/03/06/101000927/syarat-naik-kapal-ferry-per-maret-2023-jangan-beli-tiket-di-pelabuhan
51,https://finance.detik.com/infrastruktur/d-7248898/215-kapal-penyeberangan-51-dermaga-disiapkan-sambut-mudik-lebaran?pk_vid=b9277c572f02caa9175799116646444d
52,https://finance.detik.com/berita-ekonomi-bisnis/d-7246824/ingat-beli-tiket-penyeberangan-tak-bisa-dekat-pelabuhan?pk_vid=b9277c572f02caa9175799118146444d
53,https://finance.detik.com/berita-ekonomi-bisnis/d-7242568/ingat-penumpang-kapal-feri-tak-bisa-beli-tiket-radius-4-km-dari-pelabuhan?pk_vid=b9277c572f02caa9175799118946444d
54,https://finance.detik.com/berita-ekonomi-bisnis/d-7199171/45-6-juta-orang-naik-kapal-feri-asdp-sepanjang-2023-ini-rinciannya?pk_vid=b9277c572f02caa9175799120546444d
55,https://www.detik.com/bali/wisata/d-7099853/jelang-akhir-tahun-ini-jadwal-dan-harga-tiket-kapal-ketapang-gilimanuk-terbaru
56,https://finance.detik.com/berita-ekonomi-bisnis/d-7099146/ingat-mulai-nataru-beli-tiket-penyeberangan-tak-lagi-bisa-di-dekat-pelabuhan?pk_vid=b9277c572f02caa9175799122346444d
57,https://finance.detik.com/berita-ekonomi-bisnis/d-7074105/mulai-11-desember-beli-tiket-penyeberangan-tak-bisa-lagi-dekat-pelabuhan?pk_vid=b9277c572f02caa9175799123246444d
58,https://finance.detik.com/berita-ekonomi-bisnis/d-7070043/catat-ini-radius-dekat-pelabuhan-yang-tidak-bisa-beli-tiket-kapal-online?pk_vid=b9277c572f02caa9175799123946444d
59,https://travel.detik.com/travel-news/d-7052330/ferizy-e-ticketing-resmi-untuk-beli-tiket-kapal-feri-mudah-dan-cepat?pk_vid=b9277c572f02caa9175799124646444d
60,https://travel.detik.com/travel-news/d-7045875/kapal-pesiar-pengangkut-wisatawan-tenggelam-penumpang-panik?pk_vid=b9277c572f02caa9175799125446444d
61,https://news.detik.com/berita/d-6918118/sudah-24-jam-kapal-feri-di-merak-terbakar-asap-masih-membubung?pk_vid=b9277c572f02caa9175799126946444d
